ID,NAME,PATH
"0","Player","res://Scenes/Element/Player/Player.tscn"
"1","Block","res://Scenes/Element/Barrier/Block.tscn"
"2","NormalSnail","res://Scenes/Element/Snail/Snail.tscn"
"3","FireSnail","res://Scenes/Element/Snail/FireSnail.tscn"
"4","WaterSnail","res://Scenes/Element/Snail/WaterSnail.tscn"
"5","LeafSnail","res://Scenes/Element/Snail/LeafSnail.tscn"
"6","MetalSnail","res://Scenes/Element/Snail/MetalSnail.tscn"
"7","DarkSnail","res://Scenes/Element/Snail/DarkSnail.tscn"
"8","RainbowSnail","res://Scenes/Element/Snail/RainbowSnail.tscn"
"9","NobleSnail","res://Scenes/Element/Snail/NobleSnail.tscn"
"10","Door","res://Scenes/Element/Misc/Door.tscn"
"11","TP_NormalSnail","res://Scenes/Element/Misc/TargetPoint/TP_NormalSnail.tscn"
"12","TP_FireSnail","res://Scenes/Element/Misc/TargetPoint/TP_FireSnail.tscn"
"13","TP_WaterSnail","res://Scenes/Element/Misc/TargetPoint/TP_WaterSnail.tscn"
"14","TP_LeafSnail","res://Scenes/Element/Misc/TargetPoint/TP_LeafSnail.tscn"
"15","TP_MetalSnail","res://Scenes/Element/Misc/TargetPoint/TP_MetalSnail.tscn"
"16","TP_DarkSnail","res://Scenes/Element/Misc/TargetPoint/TP_DarkSnail.tscn"
"17","TP_RainbowSnail","res://Scenes/Element/Misc/TargetPoint/TP_RainbowSnail.tscn"
"18","TP_NobleSnail","res://Scenes/Element/Misc/TargetPoint/TP_NobleSnail.tscn"
